season_name,club_name,player_name,position,player_image,Appearances,Clean_sheets,Goals,Assists 
2019/20,Arsenal,Pablo Mar�,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p92371.png,2,1,0,0
2019/20,Arsenal,Pablo Mar�,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p92371.png,2,1,0,0
2019/20,Arsenal,Pierre-Emerick Aubameyang,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p54694.png,36,0,22,3
2018/19,Arsenal,Alexandre Lacazette,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p59966.png,35,0,13,8
2018/19,Arsenal,Pierre-Emerick Aubameyang,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p54694.png,36,0,22,5
2017/18,Arsenal,Nacho Monreal,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p38411.png,28,10,5,0
2017/18,Arsenal,Aaron Ramsey,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p41792.png,24,0,7,8
2017/18,Arsenal,Henrikh Mkhitaryan,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p57249.png,11,0,2,4
2017/18,Arsenal,Alexis S�nchez,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p37265.png,19,0,7,3
2017/18,Arsenal,Alexandre Lacazette,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p59966.png,32,0,14,4
2017/18,Arsenal,Pierre-Emerick Aubameyang,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p54694.png,13,0,10,4
2016/17,Arsenal,Emiliano Mart�nez,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p98980.png,2,1,0,0
2016/17,Arsenal,Calum Chambers,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p101184.png,1,0,1,0
2016/17,Arsenal,Calum Chambers,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p101184.png,1,0,1,0
2016/17,Arsenal,Mesut �zil,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p37605.png,33,0,8,9
2016/17,Arsenal,Santi Cazorla,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p19524.png,8,0,2,2
2016/17,Arsenal,Olivier Giroud,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p44346.png,29,0,12,3
2016/17,Arsenal,Alexis S�nchez,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p37265.png,38,0,24,10
2015/16,Arsenal,David Ospina,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p48844.png,4,2,0,0
2015/16,Arsenal,Petr Cech,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p11334.png,34,16,0,0
2015/16,Arsenal,Gabriel Paulista,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p158074.png,21,10,1,0
2015/16,Arsenal,Laurent Koscielny,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p51507.png,33,15,4,0
2015/16,Arsenal,H�ctor Beller�n,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p98745.png,36,18,1,0
2015/16,Arsenal,Gabriel Paulista,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p158074.png,21,10,1,0
2015/16,Arsenal,Mesut �zil,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p37605.png,35,0,6,19
2015/16,Arsenal,Olivier Giroud,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p44346.png,38,0,16,6
2015/16,Arsenal,Alexis S�nchez,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p37265.png,30,0,13,4
2015/16,Arsenal,Danny Welbeck,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p50175.png,11,0,4,2
2015/16,Arsenal,Alexis S�nchez,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p37265.png,30,0,13,4
2015/16,Arsenal,Olivier Giroud,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p44346.png,38,0,16,6
2019/20,Burnley,Nick Pope,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p98747.png,38,15,0,0
2018/19,Burnley,Ben Gibson,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p83312.png,1,0,1,0
2019/20,Chelsea,Marcos Alonso,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p82263.png,18,5,4,0
2019/20,Chelsea,Christian Pulisic,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p176413.png,25,0,9,4
2019/20,Chelsea,Christian Pulisic,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p176413.png,25,0,9,4
2019/20,Chelsea,Tammy Abraham,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p173879.png,34,0,15,3
2019/20,Chelsea,Tammy Abraham,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p173879.png,34,0,15,3
2018/19,Chelsea,Willy Caballero,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p20310.png,2,2,0,0
2018/19,Chelsea,Kepa Arrizabalaga,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p109745.png,36,14,0,0
2018/19,Chelsea,David Luiz,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p41270.png,36,15,3,0
2018/19,Chelsea,David Luiz,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p41270.png,36,15,3,0
2018/19,Chelsea,Eden Hazard,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p42786.png,37,0,16,15
2018/19,Chelsea,Eden Hazard,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p42786.png,37,0,16,15
2017/18,Chelsea,Thibaut Courtois,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,35,15,0,0
2017/18,Chelsea,Marcos Alonso,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p82263.png,33,12,7,0
2017/18,Chelsea,Antonio R�diger,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p102380.png,27,12,2,0
2017/18,Chelsea,�lvaro Morata,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p88482.png,31,0,11,6
2016/17,Chelsea,Thibaut Courtois,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,36,16,0,0
2016/17,Chelsea,Gary Cahill,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,37,15,6,0
2016/17,Chelsea,Marcos Alonso,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p82263.png,31,15,6,0
2016/17,Chelsea,Cesc F�bregas,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p17878.png,29,0,5,12
2016/17,Chelsea,Eden Hazard,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p42786.png,36,0,16,5
2016/17,Chelsea,Pedro,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p49579.png,35,0,9,9
2016/17,Chelsea,Diego Costa,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p18507.png,35,0,20,7
2016/17,Chelsea,Diego Costa,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p18507.png,35,0,20,7
2015/16,Chelsea,Matt Miazga,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p163793.png,2,1,0,0
2015/16,Chelsea,Alexandre Pato,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,2,0,1,0
2015/16,Chelsea,Diego Costa,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p18507.png,28,0,12,6
2015/16,Chelsea,Alexandre Pato,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,2,0,1,0
2015/16,Chelsea,Diego Costa,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p18507.png,28,0,12,6
2016/17,Crystal Palace,Mamadou Sakho,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p40784.png,8,4,0,0
2016/17,Crystal Palace,Mamadou Sakho,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p40784.png,8,4,0,0
2018/19,Everton,Jordan Pickford,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p111234.png,38,14,0,0
2018/19,Everton,S�amus Coleman,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p59949.png,29,13,2,0
2018/19,Everton,Gylfi Sigurdsson,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p55422.png,38,0,13,6
2016/17,Everton,Joel Robles,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,20,10,0,0
2016/17,Everton,S�amus Coleman,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p59949.png,26,10,4,0
2016/17,Everton,Romelu Lukaku,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p66749.png,37,0,25,6
2015/16,Everton,Romelu Lukaku,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p66749.png,37,0,18,6
2018/19,Fulham,Ryan Babel,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p19520.png,16,0,5,3
2019/20,Leicester City,Kasper Schmeichel,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p17745.png,38,13,0,0
2019/20,Leicester City,Jamie Vardy,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,35,0,23,5
2018/19,Leicester City,Youri Tielemans,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p166989.png,13,0,3,4
2018/19,Leicester City,Youri Tielemans,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p166989.png,13,0,3,4
2018/19,Leicester City,Jamie Vardy,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p101668.png,34,0,18,4
2017/18,Leicester City,Riyad Mahrez,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,36,0,12,10
2017/18,Leicester City,Jamie Vardy,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p101668.png,37,0,20,1
2016/17,Leicester City,Jamie Vardy,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,35,0,13,5
2015/16,Leicester City,Kasper Schmeichel,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p17745.png,38,15,0,0
2015/16,Leicester City,Robert Huth,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,35,15,3,0
2015/16,Leicester City,Robert Huth,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,35,15,3,0
2015/16,Leicester City,Riyad Mahrez,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,37,0,17,11
2015/16,Leicester City,Jamie Vardy,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,36,0,24,6
2019/20,Liverpool,Alisson,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p116535.png,29,13,0,0
2019/20,Liverpool,Virgil van Dijk,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,38,15,5,0
2019/20,Liverpool,Sadio Man�,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,35,0,18,7
2019/20,Liverpool,Mohamed Salah,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,34,0,19,10
2017/18,Liverpool,Loris Karius,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p104542.png,19,10,0,0
2017/18,Liverpool,Virgil van Dijk,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,14,7,0,0
2017/18,Liverpool,Philippe Coutinho,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,14,0,7,6
2017/18,Liverpool,Mohamed Salah,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,36,0,32,10
2017/18,Liverpool,Sadio Man�,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,29,0,10,7
2017/18,Liverpool,Roberto Firmino,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,37,0,15,7
2016/17,Liverpool,Philippe Coutinho,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,31,0,13,7
2016/17,Liverpool,Philippe Coutinho,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,31,0,13,7
2016/17,Liverpool,Roberto Firmino,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,35,0,11,7
2016/17,Liverpool,Sadio Man�,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,27,0,13,5
2015/16,Liverpool,Joseph Gomez,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p171287.png,5,3,0,0
2015/16,Liverpool,James Milner,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,28,0,5,11
2015/16,Liverpool,Philippe Coutinho,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,26,0,8,5
2015/16,Liverpool,Philippe Coutinho,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,26,0,8,5
2015/16,Liverpool,Roberto Firmino,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,31,0,10,7
2015/16,Liverpool,Daniel Sturridge,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,14,0,8,1
2019/20,Manchester City,Ederson,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p121160.png,35,16,0,0
2019/20,Manchester City,Kevin De Bruyne,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p61366.png,35,0,13,20
2019/20,Manchester City,David Silva,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,27,0,6,10
2019/20,Manchester City,Riyad Mahrez,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,33,0,11,9
2019/20,Manchester City,Raheem Sterling,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,33,0,20,1
2019/20,Manchester City,Sergio Ag�ero,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,24,0,16,3
