season_name,club_name,player_name,position,player_image,Appearances,Clean_sheets,Goals,Assists 
2019/20,Manchester City,Gabriel Jesus,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,34,0,14,7
2018/19,Manchester City,Ederson,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p121160.png,38,20,0,0
2018/19,Manchester City,Kyle Walker,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p58621.png,33,17,1,0
2018/19,Manchester City,Aymeric Laporte,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p146941.png,35,18,3,0
2018/19,Manchester City,Nicol�s Otamendi,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p57410.png,18,9,0,0
2018/19,Manchester City,Oleksandr Zinchenko,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p206325.png,14,9,0,0
2018/19,Manchester City,Raheem Sterling,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p103955.png,34,0,17,10
2018/19,Manchester City,Sergio Ag�ero,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p37572.png,33,0,21,8
2018/19,Manchester City,Leroy San�,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p182156.png,31,0,10,10
2017/18,Manchester City,Ederson,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p121160.png,36,16,0,0
2017/18,Manchester City,Nicol�s Otamendi,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p57410.png,34,14,4,0
2017/18,Manchester City,Kevin De Bruyne,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p61366.png,37,0,8,16
2017/18,Manchester City,David Silva,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p20664.png,29,0,9,11
2017/18,Manchester City,Leroy San�,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p182156.png,32,0,10,15
2017/18,Manchester City,Raheem Sterling,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p103955.png,33,0,18,11
2017/18,Manchester City,Sergio Ag�ero,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p37572.png,25,0,21,6
2017/18,Manchester City,Gabriel Jesus,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p205651.png,29,0,13,3
2016/17,Manchester City,Vincent Kompany,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,11,4,3,0
2016/17,Manchester City,Kevin De Bruyne,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p61366.png,36,0,6,18
2016/17,Manchester City,Sergio Ag�ero,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p37572.png,31,0,20,3
2016/17,Manchester City,Gabriel Jesus,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p205651.png,10,0,7,4
2015/16,Manchester City,Joe Hart,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p15749.png,35,15,0,0
2015/16,Manchester City,Vincent Kompany,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p17476.png,14,9,2,0
2015/16,Manchester City,Kevin De Bruyne,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p61366.png,25,0,7,9
2015/16,Manchester City,David Silva,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p20664.png,24,0,2,11
2015/16,Manchester City,Bersant Celina,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p136380.png,1,0,0,1
2015/16,Manchester City,Bersant Celina,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p136380.png,1,0,0,1
2015/16,Manchester City,Sergio Ag�ero,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p37572.png,30,0,24,2
2019/20,Manchester United,David de Gea,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p51940.png,38,13,0,0
2019/20,Manchester United,Bruno Fernandes,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p141746.png,14,0,8,7
2019/20,Manchester United,Marcus Rashford,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p176297.png,31,0,17,7
2019/20,Manchester United,Anthony Martial,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p148225.png,32,0,17,6
2018/19,Manchester United,Paul Pogba,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p74208.png,35,0,13,9
2017/18,Manchester United,David de Gea,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p51940.png,37,18,0,0
2017/18,Manchester United,Sergio Romero,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p42899.png,1,1,0,0
2017/18,Manchester United,Eric Bailly,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p197365.png,13,7,1,0
2017/18,Manchester United,Phil Jones,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p76359.png,23,15,0,0
2017/18,Manchester United,Chris Smalling,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p55909.png,29,11,4,0
2017/18,Manchester United,Luke Shaw,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p106760.png,11,6,0,0
2017/18,Manchester United,Luis Antonio Valencia,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p20695.png,31,14,3,0
2017/18,Manchester United,Paul Pogba,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p74208.png,27,0,6,10
2017/18,Manchester United,Romelu Lukaku,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p66749.png,34,0,16,7
2016/17,Manchester United,David de Gea,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p51940.png,35,14,0,0
2016/17,Manchester United,Sergio Romero,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p42899.png,2,2,0,0
2016/17,Manchester United,Joel Pereira,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p168196.png,1,1,0,0
2016/17,Manchester United,Joel Pereira,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p168196.png,1,1,0,0
2016/17,Manchester United,Demetri Mitchell,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p171277.png,1,1,0,0
2016/17,Manchester United,Josh Harrop,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,1,0,1,0
2016/17,Manchester United,Zlatan Ibrahimovic,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p9808.png,28,0,17,5
2016/17,Manchester United,Zlatan Ibrahimovic,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p9808.png,28,0,17,5
2015/16,Manchester United,David de Gea,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p51940.png,34,15,0,0
2015/16,Manchester United,Sergio Romero,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p42899.png,4,3,0,0
2015/16,Manchester United,Luke Shaw,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p106760.png,5,3,0,0
2015/16,Manchester United,Wayne Rooney,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p13017.png,28,0,8,6
2015/16,Manchester United,Marcus Rashford,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p176297.png,11,0,5,2
2019/20,Newcastle United,Florian Lejeune,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p77359.png,6,1,2,0
2018/19,Newcastle United,Salom�n Rond�n,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p57134.png,32,0,11,7
2018/19,Newcastle United,Salom�n Rond�n,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p57134.png,32,0,11,7
2017/18,Newcastle United,Jes�s G�mez,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p27462.png,2,1,0,0
2017/18,Newcastle United,Henri Saivet,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p43521.png,1,0,1,0
2019/20,Sheffield United,Dean Henderson,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p172649.png,36,13,0,0
2019/20,Sheffield United,Dean Henderson,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p172649.png,36,13,0,0
2019/20,Sheffield United,Dean Henderson,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p172649.png,36,13,0,0
2019/20,Sheffield United,Dean Henderson,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p172649.png,36,13,0,0
2019/20,Sheffield United,Dean Henderson,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p172649.png,36,13,0,0
2019/20,Sheffield United,Dean Henderson,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p172649.png,36,13,0,0
2019/20,Sheffield United,Dean Henderson,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p172649.png,36,13,0,0
2019/20,Sheffield United,Dean Henderson,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p172649.png,36,13,0,0
2019/20,Sheffield United,Dean Henderson,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p172649.png,36,13,0,0
2019/20,Southampton,Danny Ings,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p84939.png,38,0,22,2
2019/20,Southampton,Danny Ings,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p84939.png,38,0,22,2
2016/17,Southampton,Fraser Forster,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p40383.png,38,14,0,0
2016/17,Southampton,Ryan Bertrand,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p40146.png,28,12,2,0
2015/16,Southampton,Dusan Tadic,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p62399.png,34,0,7,12
2015/16,Southampton,Dusan Tadic,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p62399.png,34,0,7,12
2015/16,Southampton,Shane Long,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p20452.png,28,0,10,4
2015/16,Southampton,Graziano Pell�,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p17784.png,30,0,11,6
2015/16,Southampton,Graziano Pell�,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p17784.png,30,0,11,6
2019/20,Tottenham Hotspur,Son Heung-Min,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p85971.png,30,0,11,10
2019/20,Tottenham Hotspur,Harry Kane,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p78830.png,29,0,18,2
2016/17,Tottenham Hotspur,Hugo Lloris,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p37915.png,34,15,0,0
2016/17,Tottenham Hotspur,Danny Rose,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p38290.png,18,7,2,0
2016/17,Tottenham Hotspur,Toby Alderweireld,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p55605.png,30,14,1,0
2016/17,Tottenham Hotspur,Dele Alli,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p108823.png,37,0,18,7
2016/17,Tottenham Hotspur,Christian Eriksen,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p80607.png,36,0,8,15
2016/17,Tottenham Hotspur,Filip Lesniak,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,1,0,0,1
2016/17,Tottenham Hotspur,Son Heung-Min,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p85971.png,34,0,14,6
2016/17,Tottenham Hotspur,Harry Kane,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p78830.png,30,0,29,7
2015/16,Tottenham Hotspur,Hugo Lloris,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p37915.png,37,13,0,0
2015/16,Tottenham Hotspur,Dele Alli,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p108823.png,33,0,10,9
2015/16,Tottenham Hotspur,Christian Eriksen,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p80607.png,35,0,6,13
2015/16,Tottenham Hotspur,Harry Kane,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p78830.png,38,0,25,1
2015/16,West Bromwich Albion,Joleon Lescott,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,2,1,0,0
2019/20,West Ham United,Michail Antonio,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p57531.png,24,0,10,3
2019/20,West Ham United,Chicharito,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p43020.png,2,0,1,0
2018/19,West Ham United,Marko Arnautovic,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p41464.png,28,0,10,4
2018/19,West Ham United,Marko Arnautovic,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p41464.png,28,0,10,4
2017/18,West Ham United,Marko Arnautovic,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p41464.png,31,0,11,6
2015/16,West Ham United,Dimitri Payet,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,30,0,9,12
2015/16,West Ham United,Dimitri Payet,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,30,0,9,12
2019/20,Wolverhampton Wanderers,Rui Patr�cio,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p38533.png,38,13,0,0
2019/20,Wolverhampton Wanderers,Willy Boly,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p90585.png,22,12,0,0
2019/20,Wolverhampton Wanderers,Ra�l Jim�nez,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p102057.png,38,0,17,6
2019/20,Wolverhampton Wanderers,Ra�l Jim�nez,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p102057.png,38,0,17,6
2018/19,Wolverhampton Wanderers,John Ruddy,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p19236.png,1,1,0,0
2018/19,Wolverhampton Wanderers,Ra�l Jim�nez,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p102057.png,38,0,13,7
2018/19,Wolverhampton Wanderers,Ra�l Jim�nez,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p102057.png,38,0,13,7
